date,lake,sediment,ice_abundance,sediment_abundance
2016-11-02,East Lake Bonney,0.7219562892287078,0.7219562892287078,0.2780437107712922
2016-11-02,West Lake Bonney,0.9696875299696529,0.9696875299696529,0.030312470030347094
2016-11-04,East Lake Bonney,0.7286179497224656,0.7286179497224656,0.27138205027753437
2016-11-04,West Lake Bonney,0.9699724636406715,0.9699724636406715,0.030027536359328533
2016-11-06,East Lake Bonney,0.72143603036536,0.72143603036536,0.27856396963464003
2016-11-06,West Lake Bonney,0.9663793083443453,0.9663793083443453,0.03362069165565473
2016-11-08,East Lake Bonney,0.7082831166504283,0.7082831166504283,0.2917168833495717
2016-11-08,West Lake Bonney,0.9559863587187898,0.9559863587187898,0.044013641281210214
2016-11-13,East Lake Bonney,0.7094174658089284,0.7094174658089284,0.2905825341910716
2016-11-13,West Lake Bonney,0.9100350591473048,0.9100350591473048,0.08996494085269524
2016-11-15,East Lake Bonney,0.7025810248982682,0.7025810248982682,0.29741897510173176
2016-11-15,West Lake Bonney,0.9482455425925728,0.9482455425925728,0.051754457407427235
2016-12-10,East Lake Bonney,0.7498097317275333,0.7498097317275333,0.2501902682724667
2016-12-10,West Lake Bonney,0.965487490612489,0.965487490612489,0.03451250938751105
2016-12-13,East Lake Bonney,0.5866767054798073,0.5866767054798073,0.4133232945201927
2016-12-13,West Lake Bonney,0.9287403119206256,0.9287403119206256,0.07125968807937444
2016-12-15,East Lake Bonney,0.49305728406812094,0.49305728406812094,0.5069427159318791
2016-12-15,West Lake Bonney,0.9010786352343663,0.9010786352343663,0.09892136476563373
2016-12-24,East Lake Bonney,0.7679117727710685,0.7679117727710685,0.23208822722893152
2016-12-24,West Lake Bonney,0.9647674749316422,0.9647674749316422,0.035232525068357834
2017-01-02,East Lake Bonney,0.8514659126684326,0.8514659126684326,0.14853408733156737
2017-01-02,West Lake Bonney,0.9771433656099947,0.9771433656099947,0.022856634390005293
2017-01-11,East Lake Bonney,0.8095331118553728,0.8095331118553728,0.1904668881446272
2017-01-11,West Lake Bonney,0.9589909017311075,0.9589909017311075,0.04100909826889254
2017-01-14,East Lake Bonney,0.870760411822044,0.870760411822044,0.129239588177956
2017-01-14,West Lake Bonney,0.9333951104472291,0.9333951104472291,0.06660488955277089
2017-01-18,East Lake Bonney,0.8838161170858156,0.8838161170858156,0.11618388291418436
2017-01-18,West Lake Bonney,0.951127058247552,0.951127058247552,0.04887294175244805
2017-01-25,East Lake Bonney,0.8150407725985528,0.8150407725985528,0.1849592274014472
2017-01-25,West Lake Bonney,0.9263916626096365,0.9263916626096365,0.07360833739036354
2017-01-27,East Lake Bonney,0.80898327715883,0.80898327715883,0.19101672284117
2017-01-27,West Lake Bonney,0.9321975424441512,0.9321975424441512,0.0678024575558488
2017-01-30,East Lake Bonney,0.81827591189643,0.81827591189643,0.18172408810357
2017-01-30,West Lake Bonney,0.9203575867685264,0.9203575867685264,0.07964241323147359
2017-11-07,East Lake Bonney,0.9814786523134512,0.9814786523134512,0.018521347686548784
2017-11-07,West Lake Bonney,0.9897951757779289,0.9897951757779289,0.01020482422207114
2017-11-18,East Lake Bonney,0.9538437617971909,0.9538437617971909,0.04615623820280912
2017-11-18,West Lake Bonney,0.9878907464820182,0.9878907464820182,0.012109253517981755
2017-11-21,East Lake Bonney,0.9540678445953957,0.9540678445953957,0.04593215540460427
2017-11-21,West Lake Bonney,0.9871951750337246,0.9871951750337246,0.012804824966275441
2017-11-25,East Lake Bonney,0.929286378469337,0.929286378469337,0.07071362153066296
2017-11-25,West Lake Bonney,0.9884979805419398,0.9884979805419398,0.011502019458060175
2017-11-27,East Lake Bonney,0.9064472133168218,0.9064472133168218,0.09355278668317824
2017-11-27,West Lake Bonney,0.9688428378529048,0.9688428378529048,0.031157162147095185
2017-11-30,East Lake Bonney,0.8529487888961526,0.8529487888961526,0.14705121110384745
2017-11-30,West Lake Bonney,0.8812838524428004,0.8812838524428004,0.11871614755719961
2017-12-02,East Lake Bonney,0.7331783231098471,0.7331783231098471,0.2668216768901529
2017-12-02,West Lake Bonney,0.8810621243176961,0.8810621243176961,0.11893787568230385
2017-12-07,East Lake Bonney,0.7456884190590602,0.7456884190590602,0.25431158094093975
2017-12-07,West Lake Bonney,0.8708169545238976,0.8708169545238976,0.12918304547610238
2017-12-16,East Lake Bonney,0.8040585069585287,0.8040585069585287,0.19594149304147135
2017-12-16,West Lake Bonney,0.9315243773004469,0.9315243773004469,0.0684756226995531
2017-12-23,East Lake Bonney,0.8881877610003661,0.8881877610003661,0.11181223899963388
2017-12-23,West Lake Bonney,0.9763567330747213,0.9763567330747213,0.02364326692527874
2018-01-03,East Lake Bonney,0.9852144441272891,0.9852144441272891,0.01478555587271091
2018-01-03,West Lake Bonney,0.9820716435765235,0.9820716435765235,0.017928356423476455
2018-01-05,East Lake Bonney,1.0000000000000004,1.0000000000000004,-4.440892098500626e-16
2018-01-05,West Lake Bonney,0.9882860917369715,0.9882860917369715,0.011713908263028538
2018-01-10,East Lake Bonney,0.8074199991335823,0.8074199991335823,0.1925800008664177
2018-01-10,West Lake Bonney,0.9843716128748425,0.9843716128748425,0.01562838712515746
2018-01-12,East Lake Bonney,0.8971171383539778,0.8971171383539778,0.10288286164602223
2018-01-12,West Lake Bonney,0.9837531833116759,0.9837531833116759,0.01624681668832406
2018-01-14,East Lake Bonney,0.9610685075439525,0.9610685075439525,0.038931492456047545
2018-01-14,West Lake Bonney,0.9845599190056687,0.9845599190056687,0.015440080994331251
2018-01-19,East Lake Bonney,0.9618434078543059,0.9618434078543059,0.03815659214569411
